"subject" "activity" "measurement" "measurement_mean"
1 "LAYING" "fBodyAcc-mean()-X" -0.774779592934
1 "LAYING" "fBodyAcc-mean()-Y" -0.74287496838
1 "LAYING" "fBodyAcc-mean()-Z" -0.8072646706
1 "LAYING" "fBodyAcc-std()-X" -0.75282560814
1 "LAYING" "fBodyAcc-std()-Y" -0.75901614994
1 "LAYING" "fBodyAcc-std()-Z" -0.799573523
1 "LAYING" "fBodyAccJerk-mean()-X" -0.79956558182
1 "LAYING" "fBodyAccJerk-mean()-Y" -0.77615826476
1 "LAYING" "fBodyAccJerk-mean()-Z" -0.8361768788
1 "LAYING" "fBodyAccJerk-std()-X" -0.79570328532
1 "LAYING" "fBodyAccJerk-std()-Y" -0.760431155128
1 "LAYING" "fBodyAccJerk-std()-Z" -0.8555436518
1 "LAYING" "fBodyAccMag-mean()" -0.76585323852
1 "LAYING" "fBodyAccMag-std()" -0.81864076734
1 "LAYING" "fBodyBodyAccJerkMag-mean()" -0.77638209518
1 "LAYING" "fBodyBodyAccJerkMag-std()" -0.78289446594
1 "LAYING" "fBodyBodyGyroJerkMag-mean()" -0.9057389356
1 "LAYING" "fBodyBodyGyroJerkMag-std()" -0.9134071204
1 "LAYING" "fBodyBodyGyroMag-mean()" -0.860426981
1 "LAYING" "fBodyBodyGyroMag-std()" -0.84253042568
1 "LAYING" "fBodyGyro-mean()-X" -0.8295753744
1 "LAYING" "fBodyGyro-mean()-Y" -0.8776318646
1 "LAYING" "fBodyGyro-mean()-Z" -0.7957874558
1 "LAYING" "fBodyGyro-std()-X" -0.84620306454
1 "LAYING" "fBodyGyro-std()-Y" -0.8719323838
1 "LAYING" "fBodyGyro-std()-Z" -0.79148214896
1 "LAYING" "tBodyAcc-mean()-X" 0.278972962
1 "LAYING" "tBodyAcc-mean()-Y" -0.016464001487298
1 "LAYING" "tBodyAcc-mean()-Z" -0.1045319936
1 "LAYING" "tBodyAcc-std()-X" -0.75841751018
1 "LAYING" "tBodyAcc-std()-Y" -0.74243116646
1 "LAYING" "tBodyAcc-std()-Z" -0.7916022602
1 "LAYING" "tBodyAccJerk-mean()-X" 0.08684591586
1 "LAYING" "tBodyAccJerk-mean()-Y" -0.0203163849138
1 "LAYING" "tBodyAccJerk-mean()-Z" -0.000142482172400001
1 "LAYING" "tBodyAccJerk-std()-X" -0.7884878209
1 "LAYING" "tBodyAccJerk-std()-Y" -0.76063892036
1 "LAYING" "tBodyAccJerk-std()-Z" -0.8464397966
1 "LAYING" "tBodyAccJerkMag-mean()" -0.78877904554
1 "LAYING" "tBodyAccJerkMag-std()" -0.77875752064
1 "LAYING" "tBodyAccMag-mean()" -0.74017521988
1 "LAYING" "tBodyAccMag-std()" -0.77718213242
1 "LAYING" "tBodyGyro-mean()-X" -0.024745526588
1 "LAYING" "tBodyGyro-mean()-Y" -0.08220544247
1 "LAYING" "tBodyGyro-mean()-Z" 0.10458046341
1 "LAYING" "tBodyGyro-std()-X" -0.84093439888
1 "LAYING" "tBodyGyro-std()-Y" -0.8730684466
1 "LAYING" "tBodyGyro-std()-Z" -0.77579065704
1 "LAYING" "tBodyGyroJerk-mean()-X" -0.097352341346
1 "LAYING" "tBodyGyroJerk-mean()-Y" -0.0333363241336
1 "LAYING" "tBodyGyroJerk-mean()-Z" -0.075354542248
1 "LAYING" "tBodyGyroJerk-std()-X" -0.868696858
1 "LAYING" "tBodyGyroJerk-std()-Y" -0.91255306
1 "LAYING" "tBodyGyroJerk-std()-Z" -0.8481296104
1 "LAYING" "tBodyGyroJerkMag-mean()" -0.887854533
1 "LAYING" "tBodyGyroJerkMag-std()" -0.9062720864
1 "LAYING" "tBodyGyroMag-mean()" -0.78772147248
1 "LAYING" "tBodyGyroMag-std()" -0.83173656406
1 "LAYING" "tGravityAcc-mean()-X" 0.4928497956
